"Reference","Value","Footprint","QUANTITY"
"C8","100nF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1"
"J1","LiPo_battery","Connector_JST:JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal","1"
"J2","ext_switch_header","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1"
"J4","proto_header","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","1"
"J5","XIAO_BAT_wires","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1"
"R3,R4","100k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2"
"SW1","arming_switch","Button_Switch_THT:SW_Slide_SPDT_Straight_CK_OS102011MS2Q","1"
"U1","XIAO_left_socket","Connector_PinSocket_2.54mm:PinSocket_1x07_P2.54mm_Vertical","1"
"U2","LSM6DSO32_socket","Connector_PinSocket_2.54mm:PinSocket_1x09_P2.54mm_Vertical","1"
"U3","BMP585_socket","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","1"
"U4","microSD_socket","Connector_PinSocket_2.54mm:PinSocket_1x09_P2.54mm_Vertical","1"
"U5","XIAO_right_socket","Connector_PinSocket_2.54mm:PinSocket_1x07_P2.54mm_Vertical","1"
